1,2,3
-131.9694,-12.1258545,0.9599124
-6.814351,-13.268793,4.326073
-63.298634,-11.7974615,13.48822
-140.3677,-10.609321,0.52666134
1.5498363,-11.794569,12.411147
-193.23256,5.101982,-15.305767
-46.342297,10.705139,0.3728623
-303.58176,15.611639,-6.418595
-185.04457,6.2234006,7.1776705
-194.41805,3.3605826,-8.4631605
-0.49450955,-7.6775064,7.6066003
-438.0741,10.610702,0.052206777
-493.40146,3.6600606,4.79794
-333.20267,3.784695,5.914466
-305.1694,8.931661,-6.4505696
-238.08527,20.498182,9.119346
-547.5671,-0.2663195,-1.5415081
495.05026,22.887743,-1.9360137
577.39923,14.800127,2.890804
442.4765,20.93598,-4.9945803
815.14294,18.003365,3.6858847
191.50407,6.4367247,-6.937305
-487.3549,-8.245149,-2.3473854
-539.7536,-1.5029525,-7.6193795
-784.7254,16.965446,-0.62786585
189.89568,-3.5591786,-11.456258
92.92237,-19.706905,-9.496648
-293.9861,-2.2416174,10.120155
162.99675,-4.8379307,2.6590304
77.633896,0.5768088,1.2123306
155.39127,-0.05337177,-8.7483225
151.10088,-1.5920595,-3.8396628
241.15242,-4.572516,-8.690682
179.01466,-1.5778707,13.318231
-123.908585,-19.238789,-6.217573
124.80986,-16.146608,-0.49318874
193.76103,-21.602255,-9.193601
226.47191,-4.2797484,-1.4454484
164.83778,-25.399323,9.006281
-125.83465,-17.617844,0.03562529
-65.20856,-18.789175,3.053628
110.54613,-11.608484,-5.3563914
207.07632,-22.710535,-2.9471145
22.645676,-33.26304,2.6858685
321.2637,-20.276083,-4.2872014
387.82126,-5.0325766,-11.556488
323.94763,-21.939928,1.8463627
108.52465,-18.702667,-3.5009902
803.16925,13.370516,3.7364042
219.73972,-5.2378654,-1.0258181
551.3835,-3.7606096,-4.7812366
652.3394,-4.94492,-1.5955706
444.62823,-13.99072,-5.062981
494.07422,-20.81646,-0.16974863
141.36566,-10.162015,-3.643351
497.43875,-9.445308,3.4984002
385.68408,-14.766714,4.433911
316.10587,-6.9854374,-4.684056
364.1769,-9.186873,3.0340443
328.79202,-11.624924,-14.227151
418.48196,-12.491251,0.10727125
212.55493,-2.7794752,9.442306
272.3895,-9.484495,-4.970279
335.12546,-2.0994174,-14.590222
208.7424,-9.464191,5.420837
127.010086,10.650034,3.614873
359.75043,-24.112633,3.8576233
206.98427,-0.59883255,-2.3231378
198.24245,-4.2617764,-11.10001
80.54133,-3.9276633,-3.7425764
126.67287,-1.1428589,7.943053
190.52023,-2.7752168,0.8877493
-964.2067,10.251466,-0.7512535
-875.20953,9.256501,3.938666
-467.72266,-2.9734156,-1.264767
-103.22744,9.962477,1.3238137
-154.67216,12.7802105,-3.7325962
-115.43756,0.485501,-0.091431454
-614.0246,9.597507,1.5249072
-483.66272,14.946524,3.8207738
298.07156,-2.7263849,4.616221
-235.84763,17.598244,3.616197
7.8423133,2.4999025,4.293607
-499.21637,16.210333,3.3603415
-151.88289,6.931874,-4.4622855
-136.17021,1.9316984,-1.2526565
-50.49137,17.431925,-1.5618296
-168.67274,8.386128,13.852141
-400.17807,2.5933816,9.8601
-171.66383,8.3475485,8.33516
300.8041,1.7038915,9.435038
211.91753,11.68999,-0.24138944
211.3976,8.845046,6.4895773
212.65172,15.261,5.392636
219.23119,10.141181,9.3090315
218.04094,3.7278166,6.91097
220.60907,4.2264643,0.43347004
-626.0739,14.752909,-1.5912067
-623.6609,12.608858,3.9694908
260.56366,-3.5260363,5.0929227
264.85336,-2.8071835,0.12025154
-461.54053,-0.74192667,-5.0463386
-400.09283,-1.9752808,1.4285512
-344.3386,-6.615315,3.2820067
-272.33804,-9.2482815,6.0068545
-308.15906,8.233173,-0.7172843
-640.12427,0.7035474,5.094524
-276.2331,-2.744719,8.602298
-274.7989,-6.728588,0.07939867
-13.152589,-5.672403,-6.496193
-15.9539995,-5.37687,-0.9627687
-264.7861,-10.481781,-6.90331
-179.74483,-3.306346,-10.964591
-48.570225,-10.618694,-4.976936
-268.93994,-13.584552,-11.079333
-183.29448,-4.7678213,-6.204346
-49.039978,-16.612839,-6.004626
-204.26015,-15.431733,-6.2100983
-206.84186,-15.438436,-0.42665964
-770.9474,13.1840725,3.1687741
-522.4477,5.6466107,-7.7165484
-516.24023,7.260286,-6.1754723
-342.70764,-12.74588,3.436362
-252.79765,-14.149512,-8.935769
-344.2714,-10.0805235,-2.837012
-248.48848,-18.222218,-12.304355
-620.7,3.957144,2.0549214
-543.8558,2.827399,2.700587
-622.89276,3.8587477,-4.9026275
-546.3848,7.3206577,-1.4843645
-60.63326,-16.910477,-6.921508
-241.61836,3.5079513,7.6475344
-29.947664,-1.1881633,15.413084
-324.4433,1.477734,6.793962
182.13081,-3.8578236,0.658651
-24.296986,-9.5083,17.334152
277.3664,-4.2938466,-8.08942
250.66098,-8.954018,-6.6062946
187.22955,-12.1873,-7.9551697
-368.71918,5.05421,-10.0131235
120.0824,-5.513351,8.025753
-249.9482,-8.605638,-4.242839
-0.76301646,-5.4455876,13.665369
137.79459,-14.741152,4.8224516
-235.4207,-14.750266,5.927677
-428.50308,5.4891315,-9.870398
-291.3918,-10.638182,6.19998
133.90463,-24.128536,-9.162461
91.78959,-18.586517,5.7510595
120.45164,-2.7819266,13.896133
-118.181984,-12.001176,7.5690823
-117.24025,-7.1656137,11.808348
-176.90976,-5.1219726,8.405553
-9.827589,7.1433873,9.205104
