,ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
1186,0.15382748,-515.3564713000001,0.496609742,0.029368934,-0.067555516,0.6691199999999999,3.7951219519999997,5.047228152,0.838080355,0.8041950459999999,47.63665021,31.79463334,0.869455364,2,2,2,1,6.21
801,-0.104889154,568.1191565,0.607945066,0.029192175,-0.167578943,0.65441,3.9447877339999997,4.945485949,0.851590098,0.795200505,51.658832200000006,33.55600732,0.650697637,2,0,0,0,6.36
804,-0.09769577199999999,604.6974151000001,0.437918515,0.029589068,-0.148593604,0.64063,3.950703762,4.941625521000001,0.8586832529999999,0.807594887,48.19354406,31.96375388,0.650697637,2,1,1,0,6.48
2457,0.491854306,314.28713460000006,0.782625809,0.029782534,-0.12424845699999999,0.70139,3.605281451,4.8108048430000006,0.790280773,0.758819978,52.75348814,35.31373048,0.6873648179999999,4,3,3,1,6.59
2570,-0.095977417,516.8918348,1.096735343,0.023970626000000002,-0.113210436,0.64063,3.8352394480000003,5.07290682,0.86235163,0.8221991059999999,41.76358212,30.67921486,1.529207419,2,0,0,0,6.6
826,0.342483873,802.8307981,0.658969047,0.026803637,-0.10669456699999999,0.70395,3.6938134889999996,4.883428974,0.802210888,0.768130402,54.94983575,36.75344903,0.0,4,4,4,0,7.58
2264,0.203211963,221.9506512,0.800995883,0.02833665,-0.148735927,0.68421,3.719291614,4.649983342,0.7638622959999999,0.7334532109999999,60.00443154,41.91105497,0.0,4,3,3,1,8.05
2647,-0.114303679,104.98053429999999,1.138422257,0.02494195,-0.081026839,0.74219,3.442737981,4.218854926000001,0.723287241,0.691838755,53.91000089,46.445237,0.0,6,4,4,0,6.72
2201,0.068652682,451.2589028,0.722703067,0.028825634,-0.212634204,0.68571,3.365039955,4.750664969,0.7674959,0.7392575859999999,53.85430269,33.70198052,0.0,5,3,3,0,8.38
32,0.06408034,836.6301599,0.666471905,0.028923723,-0.196609673,0.65625,3.8340617989999997,4.968340331,0.8219749129999999,0.776196518,65.47857531,38.96567909,0.0,3,3,3,0,6.68
2261,-0.292985887,770.4598523,0.891911233,0.02715834,-0.065625902,0.70833,3.662228742,4.733489004,0.780319718,0.7508968340000001,53.93484268,38.53305308,0.0,4,3,3,0,7.77
738,0.127658105,281.11625610000004,0.826423811,0.026766825,-0.110195339,0.65,4.155818463999999,4.877203348,0.8988141140000001,0.824010144,45.34114484,32.66781505,0.0,4,1,1,0,6.3
2718,0.015934867,334.32387830000005,0.8922149770000001,0.02615643,-0.015792945,0.64844,3.6953768780000003,4.665285568,0.8069530009999999,0.771836759,51.66955058,35.82937229,0.850177526,2,0,0,0,7.16
329,-0.310499963,-161.3125185,0.7096398079999999,0.034670598,-0.14255237099999998,0.66667,3.775817674,4.726755252,0.841852096,0.8139256709999999,48.30189845,35.31648873,2.4335912719999997,2,1,1,0,6.06
1335,0.019709993000000002,886.6925798000001,0.755873433,0.030102208,-0.056942621,0.68269,3.713847136,4.829448698999999,0.8647235679999999,0.826183717,38.48264401,28.2282586,0.2,3,0,0,0,5.09
1072,0.485464021,901.1411145999999,0.537618901,0.026717387000000002,-0.082721294,0.68939,3.973096296,4.943850823,0.843951325,0.806595292,42.23214105,32.90422074,0.166666667,3,3,3,0,7.96
587,0.015373171000000001,989.3219985,1.00314784,0.026650267999999998,-0.19102459300000002,0.7,3.642477809,4.909226877,0.809290257,0.7732614720000001,47.3423375,32.9634225,0.0,5,3,3,0,5.47
2726,0.322020335,687.4783217999999,0.794444778,0.02623658,-0.24917513100000002,0.69167,3.804937452,4.835194259,0.8363420540000001,0.794287273,39.82941856,28.51412742,0.0,4,1,1,0,6.0
543,0.40845448799999995,136.2328897,0.38365429999999995,0.033299731,0.030780107999999997,0.69,3.7840826,4.578638721,0.838665825,0.799354453,36.60250786,29.218627299999998,0.166666667,2,2,2,0,6.96
1003,-0.327202695,-568.9743024,0.0,0.05354314599999999,-0.14574312,0.5857100000000001,2.017462196,3.4628474519999997,0.52955549,0.52955549,82.31021466,71.70812639,0.5,0,0,0,2,5.46
2617,0.0041255020000000005,232.50980409999997,0.6709861970000001,0.02938395,-0.004877488,0.65517,3.86947482,4.580664649,0.824663134,0.766346015,47.27179928,33.92296174,0.5,2,1,1,0,5.47
2540,-0.109083275,1044.33081,0.97647782,0.025742459,-0.081600607,0.69286,3.5520843510000004,4.860077428,0.807004417,0.770978183,50.40530946,31.30226866,0.0,4,3,3,0,5.23
184,-0.08914938300000001,535.9592093,0.939203718,0.026632883,-0.241366971,0.70313,3.57743078,4.630996149,0.780846611,0.749363151,47.76251945,34.31529793,0.0,4,2,2,0,7.43
143,1.098999039,16.36677012,0.855468487,0.026840866,0.072369615,0.71154,3.727972885,4.420811225,0.825155075,0.76294338,49.52135345,32.0839158,0.25,2,1,1,0,8.3
201,0.01647016,566.5589907000001,0.800111887,0.026330366,-0.236264931,0.68548,3.713269419,4.806238929,0.813666488,0.782832271,43.59319628,29.64659752,0.083333333,3,2,2,0,7.96
1873,0.533890381,-181.02953159999998,1.004568474,0.027931435,-0.024919375,0.69643,3.67307091,4.7867901989999995,0.839722975,0.8008308559999999,40.13087253,28.44761353,0.166666667,3,2,2,0,7.52
951,0.34127725200000003,-464.4083449,1.181831657,0.0278905,0.06912599999999999,0.68333,4.051546363,4.85366069,0.859990143,0.805938933,39.54609086,29.08981338,0.0,2,1,1,0,8.7
1421,0.043605137999999995,-300.30933460000006,0.8330301520000001,0.025312195,0.132139196,0.62121,2.982659522,3.85842706,0.687199725,0.630571044,79.30019148,50.22586583,0.5,1,0,0,1,4.92
1017,0.604579834,84.34547295,0.7182342820000001,0.030602932000000003,0.024451562000000003,0.70192,3.8293476760000003,4.685971707,0.85325875,0.810531076,37.45756672,28.85468288,0.166666667,3,2,2,0,8.52
2683,-0.274522086,188.56196509999998,0.711495975,0.029868855,0.059757863,0.62931,3.8443728210000003,4.85366069,0.859990143,0.805938933,50.11444765,33.48144907,0.0,3,1,1,1,6.58
1372,0.27124372399999996,-78.92284331,1.2076739490000001,0.026662942999999998,-0.09470912699999999,0.6875,3.6379453039999996,4.724937501,0.7658014479999999,0.722560445,70.73495256,42.12974237,0.0,4,3,3,1,8.06
935,-0.08871685900000001,1005.5026730000001,0.642102485,0.029986889,-0.025037057999999997,0.65179,3.606500248,4.785105395,0.8276781990000001,0.794555488,39.08965807,29.31990317,0.2,3,1,1,0,5.24
2828,-0.247083828,-1.409131414,0.892193958,0.032032339,-0.187856041,0.65,3.7548019630000002,4.931208949,0.865057643,0.8058925379999999,50.19335722,28.74109985,0.0,3,1,1,0,8.54
2783,0.102541906,-225.9633415,1.112242012,0.029805059,-0.21841824399999998,0.65714,3.8015089410000003,5.048417949,0.858188727,0.8008555740000001,57.38248219,30.69850084,0.0,4,1,1,0,9.77
2435,0.22448231100000002,281.297102,0.800995883,0.028069657,-0.139476668,0.68919,3.7820179069999997,4.660378197,0.77384483,0.741460615,57.75654115,41.45789447,0.0,4,2,2,1,7.85
2781,-0.21986983300000001,-214.05423650000003,1.4042241969999998,0.028270842999999997,-0.244905012,0.65385,3.6140361189999997,4.752209081,0.786217607,0.732934007,70.57273597,41.42464724,0.0,4,1,1,0,6.82
