naAromAtom,nAromBond,BCUTc-1l,BCUTc-1h,BCUTp-1h,SpMax1_Bhm,SpMin1_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMin1_Bhv,SpMin7_Bhv,SpMax1_Bhe,SpMax3_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMin8_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMin1_Bhp,SpMax1_Bhi,SpMin1_Bhi,SpMin2_Bhi,SCH-6,VCH-5,SpMAD_Dt,SHaaCH,SaaN,minHBa,maxaaN,hmin,nAtomP,MDEN-22,MDEN-23,MLFER_A,MLFER_BH,piPC5,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nTRing,WTPT-4,WTPT-5,pChemBL
12.0,13.0,-0.3784525620000001,0.396763391,11.0499671,4.024062421,2.003479212,1.74364844,1.734986593,3.94489666,3.737771341,2.06939382,1.325636397,4.042446274,3.842906097,1.965831632,1.6914559669999998,1.493605773,1.421048319,0.913909292,3.931072609,3.72678143,3.691197241,2.089047989,4.07883077,1.940477467,1.64823441,0.655442165,0.14907119800000002,23.26226058,2.151073121,13.5071316,2.135756724,4.900605474,-0.105002874,15.0,0.825481812,1.853144012,0.25,2.349,6.209344269,7.106311525,7.551868125,7.967388492,8.29278028,9.378075925,6.253431138,8.0,6.156747936,19.22653249,6.28
15.0,16.0,-0.317797176,0.220514964,10.8902023,4.0309162380000005,1.974733607,1.7777392769999998,1.581091508,3.938075065,3.825812193,2.009225068,1.285229005,4.0576322860000005,3.784012289,1.878156224,1.841979157,1.401828505,1.070969339,0.8128324440000001,3.921370637,3.835293074,3.65012082,2.019333751,4.103735638,1.854583217,1.803940496,0.374918214,0.041666667,19.87229659,3.479753342,8.688100994,0.845717315,4.447309497,-0.029708255,10.0,1.313814579,1.12468265,0.8059999999999999,2.351,5.855609027000001,6.338994285,6.647713706,6.5714025660000015,6.807114511,8.3479643,4.663622238,5.0,2.534924945,18.35211097,6.87
11.0,12.0,-0.30478894,0.277878074,12.49478019,4.308195193,2.001269672,1.793345826,1.66583431,3.993086616,3.697174156,2.042865732,1.337038714,4.060734229,3.708070221,1.94618495,1.62616731,1.5464101419999998,1.196937665,0.990872863,4.041251216,3.685520136,3.619924174,2.043844021,4.082565695,1.923655173,1.582911856,0.481901923,0.143000919,23.89837101,0.53404518,14.25711372,-1.784895629,4.903965276,-0.112756165,15.0,1.550343874,1.295328761,0.09,3.3,6.058246643,6.922074147999999,7.297768283,7.64768913,7.909350333,9.096821231,6.855507752,7.0,5.003719599999998,21.4398228,6.58
6.0,6.0,-0.378498945,0.34598814,10.35836724,3.93437076,1.921837395,1.736507916,1.6223670119999998,3.887036638,3.708558679,1.960667075,1.313049518,3.971294145,3.621048955,1.84630032,1.77050143,1.430667145,1.035605824,1.018928274,3.881427123,3.684056697,3.411385215,1.982017768,3.997166828,1.830588262,1.730546738,0.404811503,0.055901699000000006,22.06726723,1.796130361,0.0,1.3563085419999998,0.0,-0.004876233,10.0,0.0,1.190550789,0.091,3.214,5.66361131,6.068425587999999,6.325198662999999,6.33494343,6.583236316,8.117228553,3.191160714,5.0,11.11397108,13.36975963,7.22
18.0,18.0,-0.32446024,0.218796437,11.86884054,3.982977204,2.062336092,1.908848444,1.803299061,3.932329208,3.841858833,2.070590967,1.103162257,4.01080737,3.795827648,1.97585268,1.899173072,1.642909086,0.953002884,0.7986202309999999,3.926884827,3.845125766,3.752164105,2.074252494,4.0377419460000015,1.951767549,1.873701205,0.5604893,0.19045042,22.47486446,6.546947891,0.0,1.699811744,0.0,-0.054638880999999986,23.0,0.0,0.5,0.18,1.7519999999999998,6.143783192999999,6.919220551,7.334961494,7.736716401,8.050015565,9.170146435,7.417012548,6.0,2.622237262,9.299800832999999,5.23
10.0,11.0,-0.27923789,0.277812525,12.66988901,4.35600898,1.851215469,1.710769084,1.642814871,3.955413177,3.705042932,1.831598024,1.266902006,4.011220909,3.704132559,1.710591584,1.655219586,1.4971140280000002,1.096846162,0.916753976,4.043306566,3.730558781,3.680284042,1.82599463,4.021723566,1.695797234,1.6344855619999998,0.554125085,0.22205786,16.73674551,0.369076577,9.569826482,-1.6501225380000002,4.938106222,-0.128140968,14.0,0.8772053209999999,0.784136938,0.09,2.467,5.680172609,6.475288253,6.7646965020000005,7.030000566,7.13759511,8.537879313,6.4438229960000015,3.0,4.984547254,15.05617378,6.85
0.0,0.0,-0.380799208,0.5403331029999999,8.86613256,4.443225719,1.959487271,1.880898419,1.859466694,3.703570362,3.583493949,1.923230136,1.67400843,3.83480118,3.70464949,1.728785388,1.684429886,1.618830182,1.500643329,1.376227872,3.916317924,3.64334024,3.60328887,1.914247884,3.85985143,1.6746704469999998,1.631907052,0.166666667,0.11785113,25.10329891,0.0,0.0,5.208131241999999,0.0,-0.276515795,5.0,0.0,0.0,0.496,1.877,4.007333185,3.951243719,3.931825633,3.951243719,3.912023005,6.295266001,1.054580897,1.0,13.93289875,3.204146705,5.44
20.0,22.0,-0.317427522,0.230476651,11.16679012,4.132425624,1.979637448,1.583195264,1.428289837,4.015462918,3.609218516,2.049139578,1.10329513,4.144918494,3.762503958,1.917541087,1.7145777219999998,1.265127203,0.977707619,0.67380633,3.994802042,3.582005107,3.5618803,2.078343775,4.193235275,1.885028119,1.660881189,0.465464376,0.055429031,20.06833435,3.690313602,20.95484773,1.758981481,4.552222222,0.113202948,22.0,4.049004544,2.381101578,0.25,3.09,6.29185845,7.303985165,7.81845227,8.130597946,8.48919471,9.564279565,15.31794145,5.0,2.987759301,24.63619867,6.58
17.0,18.0,-0.334007023,0.211787608,10.90233168,4.033345515,2.007782399,1.792257994,1.736578971,3.971057456,3.773868189,2.009262429,1.3891259740000002,4.061555243,3.817887049,1.937333725,1.835521748,1.542326534,1.2793525959999998,1.034437042,3.962878306,3.75740068,3.715488256,2.010732805,4.099897902,1.919311655,1.792096168,0.5006306620000001,0.028867513,21.69984913,2.881138426,13.25531464,2.04498963,5.033248877,-0.17073070199999998,11.0,0.922707997,1.852506603,0.789,2.809,6.169087583,6.847507539,7.21320436,7.578149468999999,7.816054791,9.047659665,6.198121809,5.0,2.425907752,24.32177624,8.08
12.0,13.0,-0.377856116,0.272657439,11.80912579,4.025271846,2.039243635,1.805370402,1.723130861,3.960854447,3.788090871,2.084195097,1.417429696,4.053516926,3.714643566,1.980862475,1.790213792,1.492194389,1.300427718,1.082173213,3.951680373,3.788858644,3.5296532660000004,2.095887232,4.09069559,1.953239308,1.757509525,0.487405126,0.07453559900000001,24.74473927,2.113478442,10.19845786,2.407747615,5.134471631,-0.166234802,17.0,1.310370697,1.386451994,0.115,2.654,6.163314804,7.124931059,7.576001231,7.979298762000001,8.368722185,9.408223165,7.012195232000001,8.0,5.51256493,19.19316768,8.41
