ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
0.179239587,1028.87402,0.885748103,0.026909483,-0.216196736,0.66406,3.793667672,4.827387245,0.824070144,0.777425477,44.64166275,31.62304816,0,4,0,0,0,7.33
-0.239974934,314.3734585,0.827419675,0.026954093,-0.047599607,0.6875,4.093855279,5.026636532,0.869455765,0.831619585,44.20330958,31.7968959,0.090909091,3,2,2,0,7.37
0.333164105,294.58472,0.692636518,0.027649985,-0.082323987,0.69643,3.915938877,4.772055209,0.854447135,0.814624563,37.48883211,28.76127865,0.166666667,3,2,2,0,6.85
-0.471714447,-541.477895,0.251375655,0.035670167,-0.03498477,0.60625,3.501910474,4.569603579,0.727018482,0.698806025,77.80097154,49.45399116,0.512992784,0,0,0,3,2.920818754
-0.185837616,-112.4869959,1.20395786,0.030336905,-0.176916612,0.65625,3.846242107,4.89274741,0.858310526,0.802348585,52.37938248,31.77600274,0,3,1,1,0,8.82
0.154857059,247.6296407,0.698871165,0.025946756,-0.056081293,0.67188,3.914043367,4.949301804,0.848516223,0.803474867,46.3156612,29.77541474,0.111111111,3,3,3,0,6.98
0.014229462,-218.937456,0.467882006,0.035629694,0.239691752,0.61765,3.026986833,3.950063756,0.840360475,0.752690228,36.90817517,23.90810867,0,2,1,1,0,4.63
0.258144266,-129.4198616,1.006960685,0.024518707,0.017063492,0.70313,4.130994794,4.769102929,0.853918523,0.793365934,46.66691773,35.73353248,0,4,2,2,0,6.43
0.340606504,336.3781938,0.537618901,0.026643838,-0.294383267,0.65909,3.834512525,4.778167366,0.815667953,0.779563834,47.56448744,33.29356717,0.166666667,2,2,2,0,7.85
0.00354057,-116.3211718,0.774458388,0.026938905,0.108112678,0.63462,3.20826862,4.013041446,0.726531444,0.673985411,56.42033431,36.62324343,0,2,1,1,1,6.32
0.502401804,349.8441737,0.596544467,0.026295995,-0.079916462,0.70139,3.807387473,4.619981908,0.772923799,0.739442303,50.77702578,42.43971918,0.166666667,4,4,4,0,7.6
0.189276992,372.4291168,0.832299393,0.02778258,-0.199486883,0.65441,3.561190536,4.901506884,0.802404397,0.770973935,48.25180391,32.85768771,0,3,1,1,0,7.8
-0.170145789,361.8077471,0.462034601,0.029973617,-0.039529478,0.6875,3.738005167,4.869245454,0.850089573,0.813074274,38.48694482,28.01459108,0.083333333,4,4,4,0,6.5
-0.133777818,845.5058314,1.096735343,0.024024741,-0.046455946,0.65,3.857877097,4.995266206,0.868004145,0.823473914,39.47500025,30.28677409,0.972950627,2,0,0,0,8.3
-0.054707399,-432.1828607,0.262188697,0.03861186,-0.111855277,0.63542,3.291611664,4.305911448,0.788710574,0.74479217,49.44407792,31.36419225,0,2,2,2,0,5.16
0.397430168,715.8306675,0.654203134,0.026911049,-0.040814201,0.71094,3.910694218,5.180222503,0.892010661,0.839592459,44.67090456,27.17751232,0,4,3,3,0,6.85
-0.03548702,832.0119148,0.944456613,0.028235738,-0.026810645,0.69118,3.820117845,4.822922673,0.810003974,0.766197499,46.25340087,32.54463078,0,4,2,2,1,7.04
-0.026332829,242.0874367,1.107068,0.026974375,-0.045793232,0.66129,3.735920912,4.430457026,0.777213205,0.724056168,53.7884485,36.62656366,0,2,1,1,0,7.3
