naAromAtom,nAromBond,BCUTc-1l,BCUTc-1h,BCUTp-1h,nBondsM,SpMin1_Bhm,SpMin2_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMin1_Bhv,SpMax1_Bhe,SpMax3_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMin1_Bhp,SpMax1_Bhi,SpMin1_Bhi,SpMin2_Bhi,SCH-6,VCH-5,SpMAD_Dt,SHaaCH,SaaN,minHBa,maxaaN,hmin,nAtomP,MDEC-33,MDEN-22,MDEN-23,MLFER_A,MLFER_BH,piPC5,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nTRing,WTPT-4,WTPT-5,pChemBL
26,29,-0.371932613,0.18782672,11.31652675,29,2.152312744,1.985112033,1.914067007,1.698703088,4.09618102,3.822898885,2.184324961,4.150546545,3.854128442,2.119154178,1.870222289,1.603238922,1.180413381,4.089742753,3.816782586,3.801100528,2.192166058,4.169680244,2.103818681,1.846875114,0.352062073,0,28.87371388,6.680605769,13.49975483,5.426127872,4.608474446,-0.199503191,24,15.57827326,0.595275394,0,0.272,2.467,6.757477299,7.81465518,8.371778977,8.932479961,9.340112792,10.26974229,18.30295187,8,8.700604818,14.49884191,6.59
29,33,-0.371932619,0.187884224,11.31739333,33,2.152308963,1.98485328,1.916527638,1.780104088,4.096185726,4.008271672,2.184322249,4.150558959,3.901287629,2.119153398,1.901406252,1.625039957,1.30310279,4.089747138,4.005403491,3.811034142,2.1921637,4.169695704,2.103818036,1.881679513,0.537457479,0.036084392,31.84605773,6.841451894,13.55825668,3.292543578,4.628035504,-0.230685282,24,18.11624616,0.791276947,0,0.643,2.821,6.900950932,7.93697283,8.468238443,8.968783955,9.369441362,10.33280533,17.29908931,10,8.703742256,17.61554234,6.52
26,29,-0.371932615,0.187916247,11.31651577,29,2.152312201,1.972415931,1.913239568,1.694522908,4.096181077,3.824589952,2.184325023,4.150546721,3.871600887,2.119154191,1.870874174,1.60324635,1.180365222,4.089742785,3.819690197,3.804684761,2.192166315,4.169680409,2.103818711,1.848775626,0.333333333,0,29.13631787,6.70379606,13.42997092,5.415801233,4.584936628,-0.193330352,24,16.01276671,0.595275394,0,0.272,2.456,6.776898877,7.820091326,8.373339059,8.933370768,9.34188976,10.27328281,18.04723482,8,8.700868084,14.49961609,6.74
26,29,-0.371932615,0.187916247,11.31651577,29,2.152312201,1.972415931,1.913239568,1.694522908,4.096181077,3.824589952,2.184325023,4.150546721,3.871600887,2.119154191,1.870874174,1.60324635,1.180365222,4.089742785,3.819690197,3.804684761,2.192166315,4.169680409,2.103818711,1.848775626,0.333333333,0,29.13631787,6.70379606,13.42997092,5.415801233,4.584936628,-0.193330352,24,16.01276671,0.595275394,0,0.272,2.456,6.776898877,7.820091326,8.373339059,8.933370768,9.34188976,10.27328281,18.04723482,8,8.700868084,14.49961609,6.6
14,16,-0.377758475,0.181648342,10.88422303,17,1.958513107,1.79288681,1.744996538,1.605140478,4.032725581,3.650491479,2.004259181,4.15008228,3.61993507,1.902743824,1.706955783,1.391712526,1.02217573,4.011248759,3.624884691,3.497374225,2.01430705,4.189347008,1.876199987,1.667262899,0.443281021,0.045412415,18.42791821,0.565805343,16.66062527,1.946619426,4.631245748,0.019073129,17,8.453352879,1.57780848,1.277886208,0.772,2.131,6.368508747,7.510246666,7.993489426,8.363351578,8.643817927,9.739852536,16.27999723,4,5.366415655,20.88096863,8.4
26,29,-0.371932614,0.187865048,11.31748301,29,2.15231098,1.96104196,1.912606217,1.696785837,4.096181285,3.829507563,2.184324688,4.150546928,3.869899561,2.119154268,1.873289063,1.603269088,1.180413446,4.089743062,3.837299465,3.809040333,2.192165798,4.169680469,2.103818874,1.854048596,0.333333333,0,29.33302292,6.144960136,13.5426001,0.795771926,4.622717607,-0.22041526,24,16.71872139,0.595275394,0,0.272,2.456,6.772615451,7.818320275,8.374572401,8.935372187,9.342111659,10.27371991,18.03264066,8,8.700513059,14.49857208,6.1
26,29,-0.371932614,0.187863414,11.31700509,29,2.1523117,1.964236801,1.912608102,1.693865468,4.096181145,3.82764106,2.184324819,4.150546725,3.868027007,2.119154224,1.87284861,1.603301491,1.180461534,4.089742903,3.833904406,3.808868458,2.192165929,4.169680351,2.103818778,1.852909526,0.333333333,0,29.23255774,6.124456242,13.53589031,0.831833526,4.620578142,-0.215513994,24,16.31641754,0.595275394,0,0.272,2.456,6.771756559,7.817603427,8.374637271,8.934038352,9.341445814,10.27328281,18.04723482,8,8.70078919,14.49938409,7.11
14,16,-0.377758383,0.181729409,11.01884722,17,1.951046233,1.792858683,1.736900421,1.724171079,4.032608143,3.65867594,2.003246635,4.150494056,3.718216544,1.900261765,1.706931758,1.452583651,1.288292626,4.010915029,3.636082786,3.570175137,2.014904263,4.189920276,1.873477402,1.667262721,0.545343094,0.157215813,20.00390052,0.553166454,17.06955329,2.009580026,4.767005622,-0.069241504,17,8.453352879,1.57780848,1.845994733,0.595,2.303,6.393068042,7.550583197,8.050251121,8.445376582,8.760710592,9.818812967,14.26647873,5,5.367168782,21.86027098,8.22
14,16,-0.377787993,0.186854108,10.73201001,17,1.924197159,1.792801387,1.718224825,1.638584757,4.02664682,3.640675458,1.986926338,4.147988276,3.618963893,1.879756888,1.706743542,1.383758766,1.038705697,4.003198255,3.614516714,3.478407693,2.004933647,4.18635971,1.856813064,1.667261759,0.443281021,0.045412415,18.70850514,0.663860899,16.45629743,1.886389834,4.602407014,-0.036423375,18,8.453352879,1.57780848,1.277886208,0.617,2.342,6.373639704,7.516998466,8.005384011,8.379167787,8.667182883,9.755210814,15.87739375,4,8.399012808,20.87874501,8.3
14,16,-0.377792564,0.18681573,10.75427474,17,1.925292516,1.792821757,1.757988601,1.699540515,4.026677474,3.640960018,1.987388298,4.148006898,3.619326909,1.880039185,1.706752223,1.489819603,1.051714665,4.003233368,3.614781778,3.480092056,2.00524168,4.18637002,1.85710798,1.667261815,0.443281021,0.045412415,19.04882137,0.65507405,16.55135857,1.900760976,4.623271211,-0.087673375,18,8.453352879,1.57780848,1.277886208,0.772,2.342,6.37534419,7.519442407,8.009504569,8.387271348,8.678879137,9.762701673,15.5528253,4,8.435777905,20.87763321,7.8
