nN,ATSC4c,ATSC1v,SpMin4_Bhm,SpMin5_Bhm,SpMin6_Bhm,SpMin7_Bhm,SpMin4_Bhv,SpMin8_Bhv,SpMax3_Bhe,SpMin6_Bhe,SpMin2_Bhp,SpMin4_Bhp,SpMin6_Bhp,SpMax3_Bhi,SpMin7_Bhs,SpMin8_Bhs,C2SP2,SCH-5,SCH-6,VCH-6,nHaaCH,naaCH,SHBint2,SHaaCH,SHother,SaaCH,SaaN,maxHaaCH,maxHCsats,maxHother,maxsNH2,hmin,ETA_BetaP_s,HybRatio,IC3,MDEC-23,MDEC-33,MDEO-11,MDEN-23,MDEN-33,MPC10,piPC6,piPC8,piPC10,nHeteroRing,topoRadius,WTPT-4,WTPT-5,XLogP,pChemBL
5.0,0.06408034,127.26914040000001,1.70001065,1.649342556,1.421645935,1.40195819,1.7423952809999999,1.318106628,3.894138426,1.182991702,1.9827044569999999,1.758812194,1.426362961,3.916674337,1.091129089,1.069661615,13.0,0.0,0.333333333,0.102402546,11.0,11.0,0.0,6.997311582000001,6.997311582000001,17.22094962,13.31058469,0.6921864870000001,0.8163952879999999,0.6921864870000001,6.313587953,-0.196609673,0.65625,0.20689655199999998,5.464626506,32.41083678,16.31641754,0.0,0.0,0.0,298.0,7.281127543999999,8.379684256,9.344549306000001,3.0,10.0,8.701812452,14.50239315,4.974,6.05
5.0,0.071680345,128.03537590000002,1.698703088,1.6477486000000001,1.4216438059999998,1.401912251,1.739300813,1.2773671290000002,3.854128442,1.180413381,1.9712781119999998,1.7547372319999999,1.4207390619999998,3.8827316869999997,1.106627165,1.081658002,14.0,0.0,0.352062073,0.106699784,12.0,12.0,0.0,6.680605769,6.680605769,22.85257401,13.49975483,0.663694752,0.7460827879999999,0.663694752,6.346540051,-0.19950319100000002,0.65278,0.17857142899999998,5.306412265,30.89486594,15.57827326,0.0,0.0,0.0,286.0,7.237598449,8.371778977,9.340112792000001,3.0,10.0,8.700604818,14.49884191,4.493,6.59
6.0,0.017645206,181.4679646,1.780104088,1.673250528,1.4886726019999998,1.421570437,1.794571029,1.390722115,3.9012876289999996,1.30310279,1.973514105,1.7930121030000001,1.5290719380000002,3.9229397539999997,1.141221975,1.101582659,14.0,0.096225045,0.537457479,0.16958473100000002,12.0,12.0,0.0,6.8414518939999995,6.8414518939999995,22.94337368,13.55825668,0.666781171,0.768979968,0.666781171,6.418928825,-0.230685282,0.66667,0.166666667,5.565943295,35.53198014,18.11624616,0.0,0.0,0.0,314.0,7.382581246,8.468238442999999,9.369441362,4.0,10.0,8.703742256,17.61554234,3.092,6.52
5.0,0.060894709000000005,127.5597777,1.6945229080000002,1.641591926,1.421638119,1.401793474,1.7394001159999999,1.277295701,3.871600887,1.180365222,1.97312226,1.7557202980000002,1.420954141,3.897443392,1.10057309,1.073941113,14.0,0.0,0.333333333,0.102402546,11.0,11.0,0.0,6.70379606,6.70379606,18.81034298,13.42997092,0.67402533,0.7695202879999999,0.67402533,6.332396532000001,-0.19333035199999998,0.65541,0.17857142899999998,5.350140638,32.5608322,16.01276671,0.0,0.0,0.0,290.0,7.253249198,8.373339059,9.34188976,3.0,10.0,8.700868084,14.49961609,3.397,6.74
5.0,0.060894709000000005,127.5597777,1.6945229080000002,1.641591926,1.421638119,1.401793474,1.7394001159999999,1.277295701,3.871600887,1.180365222,1.97312226,1.7557202980000002,1.420954141,3.897443392,1.10057309,1.073941113,14.0,0.0,0.333333333,0.102402546,11.0,11.0,0.0,6.70379606,6.70379606,18.81034298,13.42997092,0.67402533,0.7695202879999999,0.67402533,6.332396532000001,-0.19333035199999998,0.65541,0.17857142899999998,5.350140638,32.5608322,16.01276671,0.0,0.0,0.0,290.0,7.253249198,8.373339059,9.34188976,3.0,10.0,8.700868084,14.49961609,3.397,6.6
7.0,0.366907463,90.26912044,1.605140478,1.523325715,1.249629723,1.210444135,1.6175896280000002,1.134540686,3.61993507,1.02217573,1.87511678,1.60111901,1.432503382,3.6499285739999996,0.91609345,0.7722208840000001,6.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.565805343,0.565805343,1.9317101280000002,16.66062527,0.565805343,0.661890038,0.565805343,5.835545287,0.019073128999999998,0.67308,0.46666666700000003,4.8681066710000005,12.45863532,8.453352879,0.0,1.277886208,0.0,148.0,6.945968875,7.993489426,8.643817927,3.0,6.0,5.366415655,20.88096863,0.5579999999999999,8.4
5.0,0.027562064,127.15274129999999,1.696785837,1.6461207130000002,1.4216437990000002,1.401912249,1.7389774709999999,1.277360501,3.8698995610000004,1.180413446,1.9704692380000002,1.7544176930000002,1.42073487,3.891005265,1.100638556,1.075719763,14.0,0.0,0.333333333,0.102402546,11.0,11.0,0.0,6.144960136,6.144960136,21.20908719,13.5426001,0.6603034999999999,0.745396917,0.6603034999999999,6.369667711,-0.22041526,0.65541,0.17857142899999998,5.413632701,32.16638693,16.71872139,0.0,0.0,0.0,290.0,7.249525954,8.374572401,9.342111659,3.0,10.0,8.700513059,14.49857208,3.745,6.1
5.0,0.087490551,127.15274129999999,1.693865468,1.6410417030000002,1.42163975,1.40183112,1.7387192580000002,1.277135823,3.868027007,1.180461534,1.9706270819999998,1.7542480809999998,1.4206510819999998,3.889998393,1.10068924,1.076929755,14.0,0.0,0.333333333,0.102402546,11.0,11.0,0.0,6.124456242000001,6.124456242000001,21.33164709,13.53589031,0.660947838,0.745578883,0.660947838,6.360037713,-0.215513994,0.65541,0.17857142899999998,5.445378732999999,32.41083678,16.31641754,0.0,0.0,0.0,289.0,7.255238105,8.374637271000001,9.341445814,3.0,10.0,8.70078919,14.49938409,3.745,7.11
7.0,0.24489560000000002,-1.6917104369999998,1.724171079,1.605532924,1.530853228,1.249629723,1.6559760069999998,1.179709052,3.7182165439999997,1.2882926259999998,1.875332174,1.6323173290000002,1.519077943,3.7744794180000003,1.066920649,0.89638053,6.0,0.340756118,0.545343094,0.17429711899999997,1.0,1.0,0.0,0.553166454,0.553166454,2.0482379059999998,17.06955329,0.553166454,0.66428162,0.553166454,5.906589822999999,-0.06924150400000001,0.68966,0.5555555560000001,4.861097456,14.67227046,8.453352879,0.0,1.8459947330000002,0.2,223.0,6.973850205,8.050251121,8.760710592,4.0,6.0,5.367168782,21.86027098,1.335,8.22
7.0,0.23708953600000002,46.49796654,1.6385847569999998,1.537148669,1.249629723,1.2115530270000001,1.647522834,1.134540686,3.618963893,1.038705697,1.873544369,1.6361756859999999,1.438736698,3.649268208,0.91609345,0.7622513890000001,5.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.663860899,0.663860899,1.753932351,16.45629743,0.663860899,0.732265408,0.663860899,5.8315150860000005,-0.036423375,0.68519,0.46666666700000003,4.912782032,11.48949445,8.453352879,0.0,1.277886208,0.0,161.0,6.950290805,8.005384011,8.667182882999999,3.0,6.0,8.399012808,20.87874501,0.182,8.3
