naAromAtom,nAromBond,BCUTc-1l,BCUTc-1h,BCUTp-1h,SpMax1_Bhm,SpMin1_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMin1_Bhv,SpMin7_Bhv,SpMax1_Bhe,SpMax3_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMin8_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMin1_Bhp,SpMax1_Bhi,SpMin1_Bhi,SpMin2_Bhi,SCH-6,VCH-5,SpMAD_Dt,SHaaCH,SaaN,minHBa,maxaaN,hmin,nAtomP,MDEN-22,MDEN-23,MLFER_A,MLFER_BH,piPC5,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nTRing,WTPT-4,WTPT-5,pChemBL
26.0,29.0,-0.371932618,0.39628487700000004,11.31680132,4.133846582,2.152312814,1.9142140890000001,1.70001065,4.096181239,3.8437835839999996,2.184325473,1.390955414,4.150547004,3.894138426,2.1191544209999997,1.892138189,1.603965568,1.182991702,1.067135382,4.089742942,3.84432531,3.809694977,2.1921667819999997,4.169680677,2.1038189419999997,1.87092982,0.333333333,0.0,30.18894817,6.997311582000001,13.31058469,5.399639365,4.544613678,-0.196609673,24.0,0.595275394,0.0,0.272,2.343,6.802221137,7.8470573329999995,8.379684256,8.938920404,9.344549306000001,10.28247656,17.33836181,8.0,8.701812452,14.50239315,6.05
26.0,29.0,-0.37193261299999997,0.18782672,11.31652675,4.13384622,2.152312744,1.9140670069999999,1.698703088,4.09618102,3.822898885,2.1843249609999997,1.390857185,4.150546545,3.854128442,2.119154178,1.870222289,1.6032389219999998,1.180413381,1.041486572,4.089742753,3.8167825860000004,3.801100528,2.192166058,4.169680243999999,2.103818681,1.8468751140000002,0.352062073,0.0,28.87371388,6.680605769,13.49975483,5.426127872,4.608474446000001,-0.19950319100000002,24.0,0.595275394,0.0,0.272,2.467,6.757477299,7.81465518,8.371778977,8.932479961,9.340112792000001,10.26974229,18.30295187,8.0,8.700604818,14.49884191,6.59
29.0,33.0,-0.37193261899999996,0.187884224,11.31739333,4.133852935,2.1523089630000003,1.916527638,1.780104088,4.096185726,4.008271672,2.184322249,1.412381291,4.150558959,3.9012876289999996,2.119153398,1.901406252,1.6250399569999998,1.30310279,1.067922868,4.089747138,4.005403491,3.811034142,2.1921637,4.169695704,2.103818036,1.8816795130000001,0.537457479,0.036084392,31.84605773,6.8414518939999995,13.55825668,3.292543578,4.628035504,-0.230685282,24.0,0.7912769470000001,0.0,0.643,2.821,6.900950932000001,7.93697283,8.468238442999999,8.968783955,9.369441362,10.33280533,17.29908931,10.0,8.703742256,17.61554234,6.52
26.0,29.0,-0.371932615,0.18791624699999998,11.31651577,4.1338463789999995,2.152312201,1.913239568,1.6945229080000002,4.096181077,3.8245899519999997,2.184325023,1.390856399,4.150546721,3.871600887,2.119154191,1.8708741740000001,1.60324635,1.180365222,1.041430127,4.089742785,3.819690197,3.8046847610000003,2.192166315,4.169680409,2.1038187109999997,1.848775626,0.333333333,0.0,29.13631787,6.70379606,13.42997092,5.415801233,4.584936628,-0.19333035199999998,24.0,0.595275394,0.0,0.272,2.456,6.776898877000001,7.820091326,8.373339059,8.933370768,9.34188976,10.27328281,18.04723482,8.0,8.700868084,14.49961609,6.74
26.0,29.0,-0.371932615,0.18791624699999998,11.31651577,4.1338463789999995,2.152312201,1.913239568,1.6945229080000002,4.096181077,3.8245899519999997,2.184325023,1.390856399,4.150546721,3.871600887,2.119154191,1.8708741740000001,1.60324635,1.180365222,1.041430127,4.089742785,3.819690197,3.8046847610000003,2.192166315,4.169680409,2.1038187109999997,1.848775626,0.333333333,0.0,29.13631787,6.70379606,13.42997092,5.415801233,4.584936628,-0.19333035199999998,24.0,0.595275394,0.0,0.272,2.456,6.776898877000001,7.820091326,8.373339059,8.933370768,9.34188976,10.27328281,18.04723482,8.0,8.700868084,14.49961609,6.6
14.0,16.0,-0.377758475,0.181648342,10.88422303,4.140708292,1.958513107,1.744996538,1.605140478,4.032725581,3.650491479,2.004259181,1.155768252,4.15008228,3.61993507,1.902743824,1.7069557830000002,1.3917125259999998,1.02217573,0.76031856,4.011248759,3.624884691,3.497374225,2.01430705,4.189347008,1.876199987,1.667262899,0.443281021,0.045412415,18.42791821,0.565805343,16.66062527,1.946619426,4.631245748,0.019073128999999998,17.0,1.57780848,1.277886208,0.772,2.131,6.368508747000001,7.5102466660000005,7.993489426,8.363351578,8.643817927,9.739852536,16.27999723,4.0,5.366415655,20.88096863,8.4
26.0,29.0,-0.371932614,0.187865048,11.31748301,4.1338495889999995,2.15231098,1.9126062169999998,1.696785837,4.096181285,3.829507563,2.1843246880000002,1.390857136,4.150546928,3.8698995610000004,2.119154268,1.873289063,1.603269088,1.180413446,1.0414894129999999,4.089743062,3.837299465,3.809040333,2.192165798,4.169680468999999,2.103818874,1.854048596,0.333333333,0.0,29.33302292,6.144960136,13.5426001,0.7957719259999999,4.622717607,-0.22041526,24.0,0.595275394,0.0,0.272,2.456,6.772615451,7.818320275,8.374572401,8.935372187,9.342111659,10.27371991,18.03264066,8.0,8.700513059,14.49857208,6.1
26.0,29.0,-0.371932614,0.18786341399999998,11.31700509,4.133847638,2.1523117000000003,1.9126081019999999,1.693865468,4.096181145,3.82764106,2.184324819,1.39085137,4.150546725,3.868027007,2.119154224,1.87284861,1.6033014909999999,1.180461534,1.041511543,4.089742903,3.8339044060000003,3.808868458,2.192165929,4.169680351,2.103818778,1.852909526,0.333333333,0.0,29.23255774,6.124456242000001,13.53589031,0.8318335259999999,4.620578142,-0.215513994,24.0,0.595275394,0.0,0.272,2.456,6.771756559,7.817603427000001,8.374637271000001,8.934038352,9.341445814,10.27328281,18.04723482,8.0,8.70078919,14.49938409,7.11
14.0,16.0,-0.377758383,0.18172940899999998,11.01884722,4.141123773,1.951046233,1.7369004209999999,1.724171079,4.032608143,3.65867594,2.003246635,1.359938373,4.150494056,3.7182165439999997,1.900261765,1.706931758,1.4525836509999999,1.2882926259999998,0.946670508,4.0109150289999995,3.6360827860000002,3.5701751369999997,2.014904263,4.1899202760000005,1.8734774019999998,1.667262721,0.545343094,0.157215813,20.00390052,0.553166454,17.06955329,2.009580026,4.767005622,-0.06924150400000001,17.0,1.57780848,1.8459947330000002,0.595,2.303,6.393068042,7.550583197000001,8.050251121,8.445376582,8.760710592,9.818812967000001,14.26647873,5.0,5.367168782,21.86027098,8.22
14.0,16.0,-0.377787993,0.18685410800000002,10.73201001,4.139696833,1.924197159,1.718224825,1.6385847569999998,4.02664682,3.640675458,1.9869263380000002,1.162359242,4.147988276,3.618963893,1.8797568880000002,1.706743542,1.383758766,1.038705697,0.766869177,4.003198255,3.6145167139999996,3.4784076930000003,2.004933647,4.18635971,1.856813064,1.667261759,0.443281021,0.045412415,18.70850514,0.663860899,16.45629743,1.886389834,4.602407014,-0.036423375,18.0,1.57780848,1.277886208,0.617,2.342,6.3736397039999995,7.516998466,8.005384011,8.379167787,8.667182882999999,9.755210814,15.87739375,4.0,8.399012808,20.87874501,8.3
